
#################################### NEW YORK ###################################
+--------------------------------------------------+--------------------+--------------------+
|antecedent                                        |consequent          |confidence          |
|[vr_HISPANIC]                                     |sa_UNKNOWN          |0.6504024972972859  |
|[l_APT. HOUSE]                                    |vs_F                |0.648930097672305   |
|[vr_BLACK]                                        |sa_UNKNOWN          |0.6400793776166392  |
|[sr_BLACK]                                        |vr_BLACK            |0.6394040329110364  |
|[l_STREET]                                        |sr_UNKNOWN          |0.6348485960849224  |
|[l_STREET, sa_UNKNOWN]                            |vs_M                |0.6260390572959179  |
|[vs_F]                                            |sa_UNKNOWN          |0.621379064101487   |
|[vr_BLACK]                                        |vs_F                |0.6042834539168362  |
|[l_STREET]                                        |ss_U                |0.6041435255149373  |
|[l_STREET]                                        |vs_M                |0.5979250908404421  |
|[vs_M]                                            |sr_UNKNOWN          |0.5977734207032636  |
|[va_25-44, vs_F]                                  |sa_UNKNOWN          |0.5958971149300538  |
|[ss_M]                                            |vs_F                |0.5896228099432244  |
|[l_APT. HOUSE]                                    |sa_UNKNOWN          |0.5868824000939451  |
|[va_25-44]                                        |vs_F                |0.5627672157848259  |
|[vs_M]                                            |ss_U                |0.5627606775139435  |
|[vr_HISPANIC]                                     |vs_F                |0.5604846954557704  |
|[BROOKLYN]                                        |vs_F                |0.5426109882963087  |
|[c_OTHER]                                         |ss_M                |0.5383289075754223  |
|[va_25-44]                                        |sr_UNKNOWN          |0.5276005880464691  |
|[BROOKLYN]                                        |sr_UNKNOWN          |0.526360326620655   |
|[sa_UNKNOWN, ss_U]                                |vs_M                |0.5206388294013065  |
|[ss_U]                                            |vs_M                |0.520153924501214   |
|[sa_UNKNOWN, sr_UNKNOWN, ss_U]                    |vs_M                |0.5195530892944203  |
|[sr_UNKNOWN, ss_U]                                |vs_M                |0.519414372468309   |
|[sa_UNKNOWN, sr_UNKNOWN]                          |vs_M                |0.5179058258551799  |
|[sr_UNKNOWN]                                      |vs_M                |0.5121933011229245  |
|[sa_UNKNOWN]                                      |vs_M                |0.5109166137402599  |
|[sa_UNKNOWN, va_25-44]                            |vs_M                |0.5038992234812615  |
+--------------------------------------------------+--------------------+--------------------+

+--------------------------------------------------+--------------------+--------------------+
|items                                             |freq                |support             |
+--------------------------------------------------+--------------------+--------------------+
|[sa_UNKNOWN]                                      |2420027             |0.6914271983853927  |
|[vs_F]                                            |1904480             |0.5441299914343983  |
|[sr_UNKNOWN]                                      |1861924             |0.5319712940915634  |
|[sa_UNKNOWN, sr_UNKNOWN]                          |1808713             |0.5167683510445291  |
|[ss_U]                                            |1726041             |0.4931480900536736  |
|[sa_UNKNOWN, ss_U]                                |1710441             |0.4886910057753527  |
|[sr_UNKNOWN, ss_U]                                |1678473             |0.4795574115311627  |
|[sa_UNKNOWN, sr_UNKNOWN, ss_U]                    |1675771             |0.4787854216773151  |
|[va_25-44]                                        |1601234             |0.45748941585339165 |
|[vs_M]                                            |1595362             |0.45581172361734673 |
|[ss_M]                                            |1316233             |0.37606162890430583 |
|[sa_UNKNOWN, vs_M]                                |1236432             |0.35326164284697975 |
|[sa_UNKNOWN, vs_F]                                |1183404             |0.33811098482705654 |
|[vr_BLACK]                                        |1171111             |0.33459874527363354 |
|[c_OTHER]                                         |1084560             |0.30987021313434165 |
|[BROOKLYN]                                        |1082479             |0.3092756495200349  |
|[sa_UNKNOWN, va_25-44]                            |1082395             |0.30925164983545933 |
|[l_STREET]                                        |1048817             |0.2996580616369042  |
|[l_APT. HOUSE]                                    |979295              |0.2797948941242486  |
|[vr_HISPANIC]                                     |953671              |0.2724738474865759  |
|[sr_UNKNOWN, vs_M]                                |953665              |0.2724721332233919  |
|[sa_UNKNOWN, sr_UNKNOWN, vs_M]                    |936743              |0.26763733962353636 |
|[sr_UNKNOWN, vs_F]                                |908081              |0.2594483043937137  |
|[va_25-44, vs_F]                                  |901122              |0.2574600448108396  |
|[ss_U, vs_M]                                      |897807              |0.25651291440169643 |
|[sa_UNKNOWN, ss_U, vs_M]                          |890522              |0.2544315131858267  |
|[c_THEFT]                                         |889538              |0.2541503740236557  |
|[sr_UNKNOWN, ss_U, vs_M]                          |871823              |0.2490890119729855  |
|[sa_UNKNOWN, sr_UNKNOWN, vs_F]                    |871793              |0.24908044065706564 |
|[sa_UNKNOWN, sr_UNKNOWN, ss_U, vs_M]              |870652              |0.24875444494158078 |
|[va_45-64]                                        |854296              |0.24408136350207968 |
|[l_STREET, sa_UNKNOWN]                            |852696              |0.24362422665302114 |
|[sr_UNKNOWN, va_25-44]                            |844812              |0.2413716848292851  |
|[ss_U, vs_F]                                      |828056              |0.23658431917751938 |
|[c_THEFT, sa_UNKNOWN]                             |827222              |0.2363460365949476  |
|[sr_BLACK]                                        |825012              |0.2357146163221855  |
|[sa_UNKNOWN, sr_UNKNOWN, va_25-44]                |820321              |0.23437434822285194 |
|[sa_UNKNOWN, ss_U, vs_F]                          |819741              |0.2342086361150682  |
|[vr_WHITE]                                        |812131              |0.23203437897673346 |
|[sr_UNKNOWN, ss_U, vs_F]                          |806474              |0.2304181145047808  |
|[sa_UNKNOWN, sr_UNKNOWN, ss_U, vs_F]              |804943              |0.2299806916823379  |
|[ss_U, va_25-44]                                  |785395              |0.224395622228965   |
|[sa_UNKNOWN, ss_U, va_25-44]                      |778631              |0.22246307619956995 |
|[ss_M, vs_F]                                      |776081              |0.2217345143463829  |
