
###### NEW YORK #####
+-------------------------------------------------------+------------+------------------+------------------+
|antecedent                                             |consequent  |confidence        |lift              |
|[vr_HISPANIC, ss_U]                                    |[sa_UNKNOWN]|0.9921571257270865|1.3570163813297558|
|[va_25-44, sr_UNKNOWN]                                 |[vs_M]      |0.5058477010016151|1.110733960409565 |
|[va_25-44, sr_UNKNOWN]                                 |[sa_UNKNOWN]|0.9741908220493029|1.3324430876744484|
|[va_25-44, sr_UNKNOWN]                                 |[ss_U]      |0.9097968676676224|1.7540348955515963|
|[BROOKLYN, ss_U]                                       |[sr_UNKNOWN]|0.9748510654308755|1.7426072287098666|
|[BROOKLYN, ss_U]                                       |[sa_UNKNOWN]|0.9932098378337703|1.358456221387899 |
|[sa_25-44]                                             |[vs_F]      |0.7028648399206775|1.290794664217873 |
|[sa_25-44]                                             |[ss_M]      |0.7528751640426767|2.1092761878827924|
|[MANHATTAN, sa_UNKNOWN]                                |[sr_UNKNOWN]|0.7496393016440026|1.3400271203401417|
|[MANHATTAN, sa_UNKNOWN]                                |[ss_U]      |0.7106679974735844|1.370126135866012 |
|[QUEENS, sr_UNKNOWN]                                   |[sa_UNKNOWN]|0.9765362469472731|1.33565102714814  |
|[QUEENS, sr_UNKNOWN]                                   |[ss_U]      |0.910334317432585 |1.75507106711456  |
|[vs_M, ss_U]                                           |[sr_UNKNOWN]|0.9744267966029414|1.7418488216539667|
|[vs_M, ss_U]                                           |[sa_UNKNOWN]|0.9941606078445528|1.3597566308150484|
|[vr_BLACK, vs_M]                                       |[sa_UNKNOWN]|0.7829777369763922|1.0709126485533418|
|[va_25-44, ss_U, sa_UNKNOWN]                           |[vs_M]      |0.5148647191611202|1.1305334144182726|
|[va_25-44, ss_U, sa_UNKNOWN]                           |[sr_UNKNOWN]|0.9827349851019077|1.7567002280371395|
|[ss_U, sa_UNKNOWN]                                     |[sr_UNKNOWN]|0.9807967154024961|1.753235449765711 |
|[ss_U, sa_UNKNOWN]                                     |[vs_M]      |0.5190614525313332|1.1397485482774354|
|[BRONX, sa_UNKNOWN]                                    |[sr_UNKNOWN]|0.7318735236580561|1.308269681445328 |
|[va_45-64, ss_U, sa_UNKNOWN]                           |[sr_UNKNOWN]|0.9836203009956288|1.7582827855485357|
|[vr_WHITE, ss_U]                                       |[sr_UNKNOWN]|0.9826827757125155|1.7566069004893863|
|[vr_WHITE, ss_U]                                       |[sa_UNKNOWN]|0.995396260977318 |1.3614466872580488|
|[ss_U, vs_F]                                           |[sr_UNKNOWN]|0.976186028313467 |1.7449935583265195|
|[ss_U, vs_F]                                           |[sa_UNKNOWN]|0.9921130550306233|1.3569561039246085|
|[vr_BLACK, ss_U, sa_UNKNOWN]                           |[sr_UNKNOWN]|0.9784829704935082|1.7490994860818523|
|[QUEENS, ss_U, sr_UNKNOWN]                             |[sa_UNKNOWN]|0.9989545757013274|1.3663135488117255|
|[vs_M, sa_UNKNOWN]                                     |[sr_UNKNOWN]|0.7581622178805405|1.3552623659793461|
|[vs_M, sa_UNKNOWN]                                     |[ss_U]      |0.720144289035241 |1.3883958691111689|
|[va_25-44, vs_M, sa_UNKNOWN]                           |[sr_UNKNOWN]|0.7768686419211336|1.3887012685075406|
|[va_25-44, vs_M, sa_UNKNOWN]                           |[ss_U]      |0.7416436677756262|1.4298454078856775|
|[vs_M]                                                 |[sr_UNKNOWN]|0.6275311242349706|1.1217511188223956|
|[vs_M]                                                 |[ss_U]      |0.590588182548627 |1.138619309326024 |
|[vs_M]                                                 |[sa_UNKNOWN]|0.815308147947585 |1.115132355458012 |
|[va_25-44, ss_U, vs_F, sr_UNKNOWN]                     |[sa_UNKNOWN]|0.9986662250588562|1.365919159117539 |
|[BROOKLYN, sr_UNKNOWN]                                 |[sa_UNKNOWN]|0.9786633016550259|1.338560292230815 |
|[BROOKLYN, sr_UNKNOWN]                                 |[ss_U]      |0.9141016489105853|1.7623342608123609|
|[va_45-64, sa_UNKNOWN]                                 |[sr_UNKNOWN]|0.7675978638861181|1.372129173146038 |
|[va_45-64, sa_UNKNOWN]                                 |[ss_U]      |0.7309951446947109|1.4093156811589909|
|[va_25-44, ss_U]                                       |[vs_M]      |0.5141567734729233|1.1289789162630992|
|[va_25-44, ss_U]                                       |[sr_UNKNOWN]|0.9772823483208914|1.746953298883476 |
|[va_25-44, ss_U]                                       |[sa_UNKNOWN]|0.9933763913233447|1.358684023827512 |
|[sr_BLACK]                                             |[vs_F]      |0.6248092297086902|1.147447381139559 |
|[sr_BLACK]                                             |[vr_BLACK]  |0.6453902569869195|1.9505414012299922|
|[sr_BLACK]                                             |[ss_M]      |0.7100553923648459|1.9893111138781638|
|[INSIDE RESIDENCE - APT. HOUSE, ss_U]                  |[sr_UNKNOWN]|0.9795908472978817|1.7510798851359046|
|[INSIDE RESIDENCE - APT. HOUSE, ss_U]                  |[sa_UNKNOWN]|0.9918161702391733|1.3565500417043024|
|[BROOKLYN, vs_M]                                       |[sa_UNKNOWN]|0.8201654028583469|1.121775833906416 |
|[va_25-44, ss_U, sr_UNKNOWN]                           |[vs_M]      |0.5141531548535975|1.1289709705447197|
|[va_25-44, ss_U, sr_UNKNOWN]                           |[sa_UNKNOWN]|0.9989188230044543|1.3662646482957936|
|[ STREET]                                              |[sa_UNKNOWN]|0.8394585584637603|1.1481639205564045|
|[vs_M, sr_UNKNOWN, sa_UNKNOWN]                         |[ss_U]      |0.9300920283352272|1.793162772649114 |
|[va_25-44, vs_M, ss_U]                                 |[sr_UNKNOWN]|0.9772754702382231|1.7469410038806776|
|[va_25-44, vs_M, ss_U]                                 |[sa_UNKNOWN]|0.9947441775108994|1.3605548043868998|
|[ss_U, vs_F, sa_UNKNOWN]                               |[sr_UNKNOWN]|0.9825248461711279|1.7563245915601475|
|[ss_U, vs_F, sr_UNKNOWN]                               |[sa_UNKNOWN]|0.998555294283844 |1.3657674342798278|
|[BROOKLYN, va_25-44]                                   |[sa_UNKNOWN]|0.7164010897058387|0.979852877255579 |
|[vr_BLACK, sr_UNKNOWN, sa_UNKNOWN]                     |[ss_U]      |0.9270497541137097|1.7872974467329465|
|[BROOKLYN]                                             |[vs_F]      |0.5429353052487902|0.9970878542021421|
|[BROOKLYN]                                             |[sr_UNKNOWN]|0.549540239690615 |0.9823375365841688|
|[BROOKLYN]                                             |[ss_U]      |0.5152947532779087|0.9934580024013728|
|[BROOKLYN]                                             |[sa_UNKNOWN]|0.7326772345617736|1.0021144673018265|
|[vs_M, ss_U, sr_UNKNOWN]                               |[sa_UNKNOWN]|0.9990238850292377|1.36640834618899  |
|[BROOKLYN, sa_UNKNOWN]                                 |[vs_M]      |0.5115648694707204|1.1232876463578139|
|[BROOKLYN, sa_UNKNOWN]                                 |[sr_UNKNOWN]|0.7340406389036881|1.312143535438416 |
|[BROOKLYN, sa_UNKNOWN]                                 |[ss_U]      |0.6985283480874876|1.3467216052507731|
|[vr_HISPANIC]                                          |[vs_F]      |0.562325195491103 |1.0326969292945485|
|[vr_HISPANIC]                                          |[sr_UNKNOWN]|0.5134639432477321|0.917848901144599 |
|[vr_HISPANIC]                                          |[sa_UNKNOWN]|0.6921351539023132|0.946663303205452 |
|[INSIDE RESIDENCE - APT. HOUSE, sr_UNKNOWN]            |[sa_UNKNOWN]|0.9557645655268803|1.3072406965419074|
|[INSIDE RESIDENCE - APT. HOUSE, sr_UNKNOWN]            |[ss_U]      |0.8759118898119778|1.688706649537556 |
|[va_45-64]                                             |[vs_M]      |0.5165147933844488|1.134156626451101 |
|[va_45-64]                                             |[sr_UNKNOWN]|0.6000779155149057|1.0726767918166384|
|[va_45-64]                                             |[ss_U]      |0.5638108630453136|1.086994210925152 |
|[va_45-64]                                             |[sa_UNKNOWN]|0.766694582167488 |1.0486414706900387|
|[BROOKLYN, vs_F]                                       |[sa_UNKNOWN]|0.6590104261521559|0.9013571747521485|
|[vr_BLACK]                                             |[vs_F]      |0.6059146023475945|1.1127478446214996|
|[vr_BLACK]                                             |[sa_UNKNOWN]|0.6821116008823142|0.9329536545071191|
|[va_25-44, sa_UNKNOWN]                                 |[vs_M]      |0.5004904525241957|1.0989705822100795|
|[va_25-44, sa_UNKNOWN]                                 |[sr_UNKNOWN]|0.7594580221993001|1.3575786972148933|
|[va_25-44, sa_UNKNOWN]                                 |[ss_U]      |0.7209380660253975|1.3899262245009272|
|[vr_WHITE, sr_UNKNOWN]                                 |[sa_UNKNOWN]|0.9849582485726363|1.3471701644630367|
|[vr_WHITE, sr_UNKNOWN]                                 |[ss_U]      |0.9316755354130511|1.7962156812384529|
|[vr_HISPANIC, ss_U, sa_UNKNOWN]                        |[sr_UNKNOWN]|0.9776291501780688|1.7475732288857888|
|[va_25-44, vs_M]                                       |[sr_UNKNOWN]|0.6432923270146568|1.149925254206762 |
|[va_25-44, vs_M]                                       |[ss_U]      |0.6087073348442337|1.1735519701580885|
|[va_25-44, vs_M]                                       |[sa_UNKNOWN]|0.81644070252841  |1.1166813995348797|
|[va_25-44, vs_F, sr_UNKNOWN]                           |[sa_UNKNOWN]|0.9621324706937416|1.3159503569395512|
|[va_25-44, vs_F, sr_UNKNOWN]                           |[ss_U]      |0.894505476907309 |1.7245539927827558|
|[sa_UNKNOWN]                                           |[sr_UNKNOWN]|0.7458240780719231|1.3332071696711525|
|[sa_UNKNOWN]                                           |[ss_U]      |0.7045906735439202|1.358409412470899 |
|[sa_UNKNOWN]                                           |[vs_M]      |0.5078508071482332|1.115132355458012 |
|[ss_M]                                                 |[vs_F]      |0.5950311255678313|1.0927605967787382|
|[va_25-44, ss_U, vs_F, sa_UNKNOWN]                     |[sr_UNKNOWN]|0.9839275256997312|1.7588319689152998|
|[vr_BLACK, sa_UNKNOWN]                                 |[vs_F]      |0.5476398694433604|1.0057276751391333|
